anio,provincia,destino,region_destino,valor_musd,total_provincia_musd,participacion_pct,var_interanual_pct,decada,ranking_destino,es_top3,rubro_principal,pp_participacion_pct
1998,Corrientes,Venezuela,América Latina,0.06,111.82,0.05,0.0,1990s,10,False,Productos primarios,73.16
1998,Corrientes,Iraq,Asia,0.0,111.82,0.0,,1990s,11,False,Productos primarios,73.16
1999,Corrientes,Brasil,Mercosur,55.28,117.64,46.99,-15.95,1990s,1,True,Productos primarios,79.33
1999,Corrientes,Resto,Otros,27.8,117.64,23.63,42.86,1990s,2,True,Productos primarios,79.33
1999,Corrientes,Chile,América Latina,10.73,117.64,9.12,154.87,1990s,3,True,Productos primarios,79.33
1999,Corrientes,Países Bajos,Europa,5.59,117.64,4.75,-23.32,1990s,4,False,Productos primarios,79.33
1999,Corrientes,España,Europa,5.41,117.64,4.6,-14.53,1990s,5,False,Productos primarios,79.33
1999,Corrientes,Italia,Europa,4.38,117.64,3.72,75.9,1990s,6,False,Productos primarios,79.33
1999,Corrientes,Estados Unidos,América del Norte,4.18,117.64,3.55,50.36,1990s,7,False,Productos primarios,79.33
1999,Corrientes,Rusia,Europa,2.7,117.64,2.3,80.0,1990s,8,False,Productos primarios,79.33
1999,Corrientes,Reino Unido,Europa,1.58,117.64,1.34,-18.56,1990s,9,False,Productos primarios,79.33
1999,Corrientes,Iraq,Asia,0.0,117.64,0.0,,1990s,10,False,Productos primarios,79.33
1999,Corrientes,Venezuela,América Latina,0.0,117.64,0.0,-100.0,1990s,11,False,Productos primarios,79.33
2000,Corrientes,Resto,Otros,33.14,93.18,35.57,19.21,2000s,1,True,Productos primarios,70.43
2000,Corrientes,Brasil,Mercosur,32.4,93.18,34.77,-41.39,2000s,2,True,Productos primarios,70.43
2000,Corrientes,Chile,América Latina,8.25,93.18,8.85,-23.11,2000s,3,True,Productos primarios,70.43
2000,Corrientes,Estados Unidos,América del Norte,6.63,93.18,7.12,58.61,2000s,4,False,Productos primarios,70.43
2000,Corrientes,Países Bajos,Europa,3.8,93.18,4.08,-32.02,2000s,5,False,Productos primarios,70.43
2000,Corrientes,España,Europa,3.14,93.18,3.37,-41.96,2000s,6,False,Productos primarios,70.43
2000,Corrientes,Italia,Europa,2.84,93.18,3.05,-35.16,2000s,7,False,Productos primarios,70.43
2000,Corrientes,Reino Unido,Europa,1.7,93.18,1.82,7.59,2000s,8,False,Productos primarios,70.43
2000,Corrientes,Rusia,Europa,1.27,93.18,1.36,-52.96,2000s,9,False,Productos primarios,70.43
2000,Corrientes,Iraq,Asia,0.0,93.18,0.0,,2000s,10,False,Productos primarios,70.43
2000,Corrientes,Venezuela,América Latina,0.0,93.18,0.0,,2000s,11,False,Productos primarios,70.43
2001,Corrientes,Resto,Otros,26.9,79.91,33.66,-18.83,2000s,1,True,Productos primarios,67.54
2001,Corrientes,Brasil,Mercosur,22.04,79.91,27.58,-31.98,2000s,2,True,Productos primarios,67.54
2001,Corrientes,Chile,América Latina,7.5,79.91,9.39,-9.09,2000s,3,True,Productos primarios,67.54
2001,Corrientes,Estados Unidos,América del Norte,6.95,79.91,8.7,4.83,2000s,4,False,Productos primarios,67.54
2001,Corrientes,España,Europa,6.36,79.91,7.96,102.55,2000s,5,False,Productos primarios,67.54
2001,Corrientes,Países Bajos,Europa,3.38,79.91,4.23,-11.05,2000s,6,False,Productos primarios,67.54
2001,Corrientes,Italia,Europa,2.19,79.91,2.74,-22.89,2000s,7,False,Productos primarios,67.54
2001,Corrientes,Rusia,Europa,2.15,79.91,2.69,69.29,2000s,8,False,Productos primarios,67.54
2001,Corrientes,Reino Unido,Europa,2.13,79.91,2.67,25.29,2000s,9,False,Productos primarios,67.54
2001,Corrientes,Venezuela,América Latina,0.31,79.91,0.39,,2000s,10,False,Productos primarios,67.54
2001,Corrientes,Iraq,Asia,0.0,79.91,0.0,,2000s,11,False,Productos primarios,67.54
2002,Corrientes,Resto,Otros,22.93,73.88,31.04,-14.76,2000s,1,True,Productos primarios,52.67
2002,Corrientes,Estados Unidos,América del Norte,18.17,73.88,24.59,161.44,2000s,2,True,Productos primarios,52.67
2002,Corrientes,Brasil,Mercosur,16.03,73.88,21.7,-27.27,2000s,3,True,Productos primarios,52.67
2002,Corrientes,Chile,América Latina,4.96,73.88,6.71,-33.87,2000s,4,False,Productos primarios,52.67
2002,Corrientes,España,Europa,4.89,73.88,6.62,-23.11,2000s,5,False,Productos primarios,52.67
2002,Corrientes,Países Bajos,Europa,2.82,73.88,3.82,-16.57,2000s,6,False,Productos primarios,52.67
2002,Corrientes,Reino Unido,Europa,1.96,73.88,2.65,-7.98,2000s,7,False,Productos primarios,52.67
2002,Corrientes,Venezuela,América Latina,1.11,73.88,1.5,258.06,2000s,8,False,Productos primarios,52.67
2002,Corrientes,Italia,Europa,1.02,73.88,1.38,-53.42,2000s,9,False,Productos primarios,52.67
2002,Corrientes,Iraq,Asia,0.0,73.88,0.0,,2000s,10,False,Productos primarios,52.67
2002,Corrientes,Rusia,Europa,0.0,73.88,0.0,-100.0,2000s,11,False,Productos primarios,52.67
2003,Corrientes,Brasil,Mercosur,24.31,73.48,33.08,51.65,2000s,1,True,Productos primarios,59.39
2003,Corrientes,Resto,Otros,16.97,73.48,23.09,-25.99,2000s,2,True,Productos primarios,59.39
2003,Corrientes,Estados Unidos,América del Norte,16.03,73.48,21.82,-11.78,2000s,3,True,Productos primarios,59.39
2003,Corrientes,España,Europa,4.5,73.48,6.12,-7.98,2000s,4,False,Productos primarios,59.39
2003,Corrientes,Países Bajos,Europa,4.02,73.48,5.47,42.55,2000s,5,False,Productos primarios,59.39
2003,Corrientes,Chile,América Latina,2.15,73.48,2.93,-56.65,2000s,6,False,Productos primarios,59.39
2003,Corrientes,Reino Unido,Europa,2.11,73.48,2.87,7.65,2000s,7,False,Productos primarios,59.39
2003,Corrientes,Rusia,Europa,2.05,73.48,2.79,,2000s,8,False,Productos primarios,59.39
2003,Corrientes,Italia,Europa,1.31,73.48,1.78,28.43,2000s,9,False,Productos primarios,59.39
2003,Corrientes,Venezuela,América Latina,0.03,73.48,0.04,-97.3,2000s,10,False,Productos primarios,59.39
2003,Corrientes,Iraq,Asia,0.0,73.48,0.0,,2000s,11,False,Productos primarios,59.39
2004,Corrientes,Brasil,Mercosur,37.39,110.58,33.81,53.81,2000s,1,True,Productos primarios,60.67
2004,Corrientes,Estados Unidos,América del Norte,23.88,110.58,21.6,48.97,2000s,2,True,Productos primarios,60.67
2004,Corrientes,Resto,Otros,20.98,110.58,18.97,23.63,2000s,3,True,Productos primarios,60.67
2004,Corrientes,Países Bajos,Europa,7.69,110.58,6.95,91.29,2000s,4,False,Productos primarios,60.67
2004,Corrientes,Rusia,Europa,5.79,110.58,5.24,182.44,2000s,5,False,Productos primarios,60.67
2004,Corrientes,España,Europa,4.87,110.58,4.4,8.22,2000s,6,False,Productos primarios,60.67
2004,Corrientes,Reino Unido,Europa,4.31,110.58,3.9,104.27,2000s,7,False,Productos primarios,60.67
2004,Corrientes,Chile,América Latina,2.49,110.58,2.25,15.81,2000s,8,False,Productos primarios,60.67
2004,Corrientes,Italia,Europa,1.78,110.58,1.61,35.88,2000s,9,False,Productos primarios,60.67
2004,Corrientes,Venezuela,América Latina,1.41,110.58,1.28,4600.0,2000s,10,False,Productos primarios,60.67
2004,Corrientes,Iraq,Asia,0.0,110.58,0.0,,2000s,11,False,Productos primarios,60.67
2005,Corrientes,Brasil,Mercosur,30.73,99.94,30.75,-17.81,2000s,1,True,Productos primarios,63.76
2005,Corrientes,Resto,Otros,22.17,99.94,22.18,5.67,2000s,2,True,Productos primarios,63.76
2005,Corrientes,Estados Unidos,América del Norte,16.65,99.94,16.66,-30.28,2000s,3,True,Productos primarios,63.76
2005,Corrientes,Chile,América Latina,13.13,99.94,13.14,427.31,2000s,4,False,Productos primarios,63.76
2005,Corrientes,Rusia,Europa,5.69,99.94,5.69,-1.73,2000s,5,False,Productos primarios,63.76
2005,Corrientes,España,Europa,4.91,99.94,4.91,0.82,2000s,6,False,Productos primarios,63.76
2005,Corrientes,Países Bajos,Europa,3.03,99.94,3.03,-60.6,2000s,7,False,Productos primarios,63.76
2005,Corrientes,Reino Unido,Europa,1.7,99.94,1.7,-60.56,2000s,8,False,Productos primarios,63.76
2005,Corrientes,Venezuela,América Latina,1.03,99.94,1.03,-26.95,2000s,9,False,Productos primarios,63.76
2005,Corrientes,Italia,Europa,0.9,99.94,0.9,-49.44,2000s,10,False,Productos primarios,63.76
2005,Corrientes,Iraq,Asia,0.0,99.94,0.0,,2000s,11,False,Productos primarios,63.76
2006,Corrientes,Brasil,Mercosur,41.48,132.21,31.37,34.98,2000s,1,True,Productos primarios,66.9
2006,Corrientes,Estados Unidos,América del Norte,27.25,132.21,20.61,63.66,2000s,2,True,Productos primarios,66.9
2006,Corrientes,Resto,Otros,23.49,132.21,17.77,5.95,2000s,3,True,Productos primarios,66.9
2006,Corrientes,Chile,América Latina,12.28,132.21,9.29,-6.47,2000s,4,False,Productos primarios,66.9
2006,Corrientes,Rusia,Europa,7.63,132.21,5.77,34.09,2000s,5,False,Productos primarios,66.9
2006,Corrientes,España,Europa,5.57,132.21,4.21,13.44,2000s,6,False,Productos primarios,66.9
2006,Corrientes,Países Bajos,Europa,4.86,132.21,3.68,60.4,2000s,7,False,Productos primarios,66.9
2006,Corrientes,Iraq,Asia,4.46,132.21,3.37,,2000s,8,False,Productos primarios,66.9
2006,Corrientes,Reino Unido,Europa,3.55,132.21,2.69,108.82,2000s,9,False,Productos primarios,66.9
2006,Corrientes,Italia,Europa,1.62,132.21,1.23,80.0,2000s,10,False,Productos primarios,66.9
2006,Corrientes,Venezuela,América Latina,0.02,132.21,0.02,-98.06,2000s,11,False,Productos primarios,66.9
2007,Corrientes,Brasil,Mercosur,46.03,136.36,33.76,10.97,2000s,1,True,Productos primarios,71.59
2007,Corrientes,Resto,Otros,27.15,136.36,19.91,15.58,2000s,2,True,Productos primarios,71.59
2007,Corrientes,Estados Unidos,América del Norte,17.73,136.36,13.0,-34.94,2000s,3,True,Productos primarios,71.59
2007,Corrientes,Chile,América Latina,14.15,136.36,10.38,15.23,2000s,4,False,Productos primarios,71.59
2007,Corrientes,Rusia,Europa,8.62,136.36,6.32,12.98,2000s,5,False,Productos primarios,71.59
2007,Corrientes,Países Bajos,Europa,6.2,136.36,4.55,27.57,2000s,6,False,Productos primarios,71.59
2007,Corrientes,España,Europa,5.68,136.36,4.17,1.97,2000s,7,False,Productos primarios,71.59
2007,Corrientes,Iraq,Asia,4.91,136.36,3.6,10.09,2000s,8,False,Productos primarios,71.59
2007,Corrientes,Reino Unido,Europa,3.33,136.36,2.44,-6.2,2000s,9,False,Productos primarios,71.59
2007,Corrientes,Italia,Europa,2.56,136.36,1.88,58.02,2000s,10,False,Productos primarios,71.59
2007,Corrientes,Venezuela,América Latina,0.0,136.36,0.0,-100.0,2000s,11,False,Productos primarios,71.59
2008,Corrientes,Brasil,Mercosur,79.49,212.73,37.37,72.69,2000s,1,True,Productos primarios,66.33
2008,Corrientes,Resto,Otros,49.58,212.73,23.31,82.62,2000s,2,True,Productos primarios,66.33
2008,Corrientes,Chile,América Latina,22.27,212.73,10.47,57.39,2000s,3,True,Productos primarios,66.33
2008,Corrientes,Estados Unidos,América del Norte,15.43,212.73,7.25,-12.97,2000s,4,False,Productos primarios,66.33
2008,Corrientes,Venezuela,América Latina,10.01,212.73,4.71,,2000s,5,False,Productos primarios,66.33
2008,Corrientes,Rusia,Europa,9.3,212.73,4.37,7.89,2000s,6,False,Productos primarios,66.33
2008,Corrientes,Países Bajos,Europa,7.61,212.73,3.58,22.74,2000s,7,False,Productos primarios,66.33
2008,Corrientes,Iraq,Asia,7.09,212.73,3.33,44.4,2000s,8,False,Productos primarios,66.33
2008,Corrientes,España,Europa,5.13,212.73,2.41,-9.68,2000s,9,False,Productos primarios,66.33
2008,Corrientes,Italia,Europa,3.59,212.73,1.69,40.23,2000s,10,False,Productos primarios,66.33
2008,Corrientes,Reino Unido,Europa,3.22,212.73,1.51,-3.3,2000s,11,False,Productos primarios,66.33
2009,Corrientes,Resto,Otros,51.42,178.2,28.86,3.71,2000s,1,True,Productos primarios,76.31
2009,Corrientes,Brasil,Mercosur,46.29,178.2,25.98,-41.77,2000s,2,True,Productos primarios,76.31
2009,Corrientes,Chile,América Latina,22.96,178.2,12.88,3.1,2000s,3,True,Productos primarios,76.31
2009,Corrientes,Iraq,Asia,14.89,178.2,8.36,110.01,2000s,4,False,Productos primarios,76.31
2009,Corrientes,Estados Unidos,América del Norte,12.98,178.2,7.28,-15.88,2000s,5,False,Productos primarios,76.31
2009,Corrientes,Venezuela,América Latina,8.23,178.2,4.62,-17.78,2000s,6,False,Productos primarios,76.31
2009,Corrientes,España,Europa,5.13,178.2,2.88,0.0,2000s,7,False,Productos primarios,76.31
2009,Corrientes,Países Bajos,Europa,4.9,178.2,2.75,-35.61,2000s,8,False,Productos primarios,76.31
2009,Corrientes,Rusia,Europa,4.65,178.2,2.61,-50.0,2000s,9,False,Productos primarios,76.31
2009,Corrientes,Italia,Europa,3.74,178.2,2.1,4.18,2000s,10,False,Productos primarios,76.31
2009,Corrientes,Reino Unido,Europa,3.01,178.2,1.69,-6.52,2000s,11,False,Productos primarios,76.31
2010,Corrientes,Brasil,Mercosur,49.41,155.07,31.86,6.74,2010s,1,True,Productos primarios,70.99
2010,Corrientes,Resto,Otros,34.55,155.07,22.28,-32.81,2010s,2,True,Productos primarios,70.99
2010,Corrientes,Estados Unidos,América del Norte,20.01,155.07,12.9,54.16,2010s,3,True,Productos primarios,70.99
2010,Corrientes,Chile,América Latina,16.3,155.07,10.51,-29.01,2010s,4,False,Productos primarios,70.99
2010,Corrientes,Venezuela,América Latina,14.41,155.07,9.29,75.09,2010s,5,False,Productos primarios,70.99
2010,Corrientes,Rusia,Europa,6.05,155.07,3.9,30.11,2010s,6,False,Productos primarios,70.99
2010,Corrientes,Países Bajos,Europa,5.51,155.07,3.55,12.45,2010s,7,False,Productos primarios,70.99
2010,Corrientes,España,Europa,4.38,155.07,2.82,-14.62,2010s,8,False,Productos primarios,70.99
2010,Corrientes,Italia,Europa,2.91,155.07,1.88,-22.19,2010s,9,False,Productos primarios,70.99
2010,Corrientes,Reino Unido,Europa,1.54,155.07,0.99,-48.84,2010s,10,False,Productos primarios,70.99
2010,Corrientes,Iraq,Asia,0.0,155.07,0.0,-100.0,2010s,11,False,Productos primarios,70.99
2011,Corrientes,Resto,Otros,73.95,278.84,26.52,114.04,2010s,1,True,Productos primarios,80.26
2011,Corrientes,Brasil,Mercosur,68.01,278.84,24.39,37.64,2010s,2,True,Productos primarios,80.26
2011,Corrientes,Venezuela,América Latina,23.84,278.84,8.55,65.44,2010s,3,True,Productos primarios,80.26
2011,Corrientes,Rusia,Europa,19.62,278.84,7.04,224.3,2010s,4,False,Productos primarios,80.26
2011,Corrientes,Países Bajos,Europa,18.89,278.84,6.77,242.83,2010s,5,False,Productos primarios,80.26
2011,Corrientes,Estados Unidos,América del Norte,17.6,278.84,6.31,-12.04,2010s,6,False,Productos primarios,80.26
2011,Corrientes,Chile,América Latina,16.49,278.84,5.91,1.17,2010s,7,False,Productos primarios,80.26
2011,Corrientes,Iraq,Asia,15.5,278.84,5.56,,2010s,8,False,Productos primarios,80.26
2011,Corrientes,España,Europa,13.28,278.84,4.76,203.2,2010s,9,False,Productos primarios,80.26
2011,Corrientes,Italia,Europa,6.86,278.84,2.46,135.74,2010s,10,False,Productos primarios,80.26
2011,Corrientes,Reino Unido,Europa,4.78,278.84,1.71,210.39,2010s,11,False,Productos primarios,80.26
